	100mVpp, 1.8V off
f,mv,phi
	10, 308, 0.6
	20, 309, 0.6
	50, 310, 0.6

	100, 311, 0.65

	200, 336, 0.81	

	500, 330, 0.93

	600, 247, 1.11
	610, 237, 1.12
	620, 225, 1.14
	630, 218, 1.15
	640, 206, 1.16
	650, 196, 1.18
	660, 185, 1.19


f,mv,phi




	MODO COMUNE

	1, 1.6
	10,2
	20,3.1
	50,7
	100,10
	200, 15



